Room Number,Team 1,vs,Team 2
1,C035 Eliminators,vs,C011 The Debaters
2,C051 Beasts United,vs,C012 Debate Champions
3,C006 Diamond Girls,vs,C015 The Assasinators
4,C024 Ultimate Debators,vs,C016 Fire Debaters
5,C058 The Data Dirt Devils,vs,C017 Death by Rebuttals
6,C059 Nerdy Herd,vs,C019 The Legendary Debaterions
7,C014 The Professional Debators ,vs,C021 Trouble Makers
8,C056 Star Titans ,vs,C022 Pwak Off
9,C045 The Debators,vs,C025 Brooklyn
10,C010 Fire Girls,vs,C026 The Three Demi Gods
11,C041 Golden Eagle Warriors ,vs,C027 Unbreakable Debators
12,C042 Dangerous Rocks,vs,C028 Lego My Ego
13,C002 Fantasticans,vs,C030 Alpha Q 2
14,C057 Mavericks,vs,C031 Master Debators
15,C040 The Fast and the Curious,vs,C036 The Max debators
16,C018 VLPHA Q,vs,C038 Debate Champs
17,C007 Creative Ones,vs,C039 The Champs
18,C033 Alpha Cube (2),vs,C044 Debate Champs
19,C043 The Maxfortians,vs,C046 Three Musketeers
20,C047 Stellers,vs,C049 Debate Rangers
21,C050 Savage,vs,C053 The Predators
22,C061 The Polemista DC,vs,C054 The Scorpians
23,C034 Under Dogs,vs,C055 PAS
24,C029 Alpha Cube,vs,C060 The Crustry Crusaders
25,C032 Classic Debators,vs,C063 The Violent Storms
26,C048 Stunners,vs,C064 Brain C1
27,C037  Ambassadors,vs,C065 Brain C2
28,C013 The Fantastic 3,vs,C066 Brain C3
29,C023 Blind Spot,vs,C067 Barain C4
30,C062 Rainbow Warriors,vs,No team Bye
31,C009 Grand Debaters,vs,C003 Golden Eagles
32,C052 The Cool Ones,vs,C004 The Skywalkers
33,C020 Shining Stars,vs,C005 Imperial Debaters XII Blasters
34,C001 The Hardy Boys ,vs,C008 The Invincible 3 
