Room Number,Team 1,vs,Team 2
1,C062 Rainbow Warriors,vs,C033 Alpha Cube (2)
2,C024 Ultimate Debators,vs,C034 Under Dogs
3,C053 The Predators,vs,C037  Ambassadors
4,C027 Unbreakable Debators,vs,C039 The Champs
5,C049 Debate Rangers,vs,C040 The Fast and the Curious
6,C017 Death by Rebuttals,vs,C041 Golden Eagle Warriors 
7,C001 The Hardy Boys ,vs,C046 Three Musketeers
8,C064 Brain C1,vs,C047 Stellers
9,C054 The Scorpians,vs,C048 Stunners
10,C036 The Max debators,vs,C050 Savage
11,C009 Grand Debaters,vs,C051 Beasts United
12,C066 Brain C3,vs,C052 The Cool Ones
13,C060 The Crustry Crusaders,vs,C056 Star Titans 
14,C004 The Skywalkers,vs,C057 Mavericks
15,C032 Classic Debators,vs,C058 The Data Dirt Devils
16,C063 The Violent Storms,vs,C059 Nerdy Herd
17,C019 The Legendary Debaterions,vs,C065 Brain C2
18,C030 Alpha Q 2,vs,C067 Barain C4
19,C038 Debate Champs,vs,No team Bye
20,C005 Imperial Debaters XII Blasters,vs,C003 Golden Eagles
21,C042 Dangerous Rocks,vs,C006 Diamond Girls
22,C061 The Polemista DC,vs,C007 Creative Ones
23,C028 Lego My Ego,vs,C008 The Invincible 3 
24,C015 The Assasinators,vs,C010 Fire Girls
25,C026 The Three Demi Gods,vs,C011 The Debaters
26,C002 Fantasticans,vs,C012 Debate Champions
27,C016 Fire Debaters,vs,C013 The Fantastic 3
28,C045 The Debators,vs,C014 The Professional Debators 
29,C023 Blind Spot,vs,C018 VLPHA Q
30,C031 Master Debators,vs,C020 Shining Stars
31,C035 Eliminators,vs,C021 Trouble Makers
32,C055 PAS,vs,C022 Pwak Off
33,C044 Debate Champs,vs,C025 Brooklyn
34,C043 The Maxfortians,vs,C029 Alpha Cube
